,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
63,0.001,risky_5.0,0,1.475209671883195,0.0,544.2433117661637
64,0.001,risky_10.0,0,1.6096934166233035,0.0,483.71200351066
65,0.001,simple,1,1.144045839873646,0.0,613.994268057985
66,0.001,robust,1,1.8689211627508329,0.0,324.09264116627145
67,0.001,risky_2.0,1,1.0772281861378414,0.0,669.1129730824864
68,0.001,risky_5.0,1,1.4673737471967547,0.0,541.2384745126573
69,0.001,risky_10.0,1,1.5971915499666058,0.0,492.6375715585345
70,0.001,simple,2,1.153789225835095,0.0,612.1723794840881
71,0.001,robust,2,1.8705886351903265,0.0,324.4698787019748
72,0.001,risky_2.0,2,1.0786785029964872,0.0,672.5601439120305
73,0.001,risky_5.0,2,1.4778040668379424,0.0,539.8599438538108
74,0.001,risky_10.0,2,1.609677566585103,0.0,475.84348117841176
75,0.0005,simple,0,1.1591061994505907,0.0,611.5083748888691
76,0.0005,robust,0,1.5733935497984743,0.0,386.9033146042851
77,0.0005,risky_2.0,0,1.0908348630252132,0.0,665.7968935251308
78,0.0005,risky_5.0,0,1.4787564941698406,0.0,536.4549104507932
79,0.0005,risky_10.0,0,1.6138443168190244,0.0,477.2981801205692
80,0.0005,simple,1,1.1557403689321015,0.0,607.9278065531798
81,0.0005,robust,1,1.5771915038827753,0.0,386.49807284687074
82,0.0005,risky_2.0,1,1.0814582229599672,0.0,669.5428119909393
83,0.0005,risky_5.0,1,1.4819901956151673,0.0,534.5942568419151
84,0.0005,risky_10.0,1,1.6182408900736402,0.0,481.02556316172246
85,0.0005,simple,2,1.1597680153382346,0.0,606.97088729435
86,0.0005,robust,2,1.5760113904337048,0.0,388.0457181955451
87,0.0005,risky_2.0,2,1.0809138174040112,0.0,671.0861994504704
88,0.0005,risky_5.0,2,1.479020534098375,0.0,534.8777685244947
89,0.0005,risky_10.0,2,1.6195448135003032,0.0,469.9498251984894
90,1e-12,simple,0,1.1650046795822964,0.0,599.2316300645053
91,1e-12,robust,0,1.1650046795822964,0.0,599.2343134306276
92,1e-12,risky_2.0,0,1.0916104061621887,0.0,660.0570580460736
93,1e-12,risky_5.0,0,1.4900929774654323,0.0,525.5338545545096
94,1e-12,risky_10.0,0,1.629669563391285,0.0,467.5343275603771
95,1e-12,simple,1,1.1650046795822964,0.0,599.2315993983209
96,1e-12,robust,1,1.1650046795822964,0.0,599.2342827208547
97,1e-12,risky_2.0,1,1.0916104061621887,0.0,660.0571997580784
98,1e-12,risky_5.0,1,1.4900929774654323,0.0,525.533808087866
99,1e-12,risky_10.0,1,1.629669563391285,0.0,467.5344033721339
100,1e-12,simple,2,1.1650046795822964,0.0,599.2316116983266
