,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
63,0.05,risky_0.0,2,1.0390064235765144,0.0,745.2780220392468
64,0.05,risky_1.0,2,1.0143839999094397,0.0,753.9084892149317
65,0.05,simple,3,1.0415895867372291,0.0,740.0194953908058
66,0.05,robust,3,2.1104031791687037,0.0,270.6692509998499
67,0.05,risky_0.1,3,1.0331797255004707,0.0,740.9002791474065
68,0.05,risky_0.0,3,1.0417544672611543,0.0,740.8077186294938
69,0.05,risky_1.0,3,1.0363547411148168,0.0,732.2170096848467
70,0.05,simple,4,1.061037596487139,0.0,714.9603413522498
71,0.05,robust,4,2.12317619289719,0.0,269.1119878418782
72,0.05,risky_0.1,4,1.0534204963080533,0.0,718.2960411211918
73,0.05,risky_0.0,4,1.0577352840578156,0.0,716.540530716874
74,0.05,risky_1.0,4,1.0308105627600999,0.0,735.9788008368869
75,0.05,simple,5,1.031342384448153,0.0,740.7315206582938
76,0.05,robust,5,2.1090379644930586,0.0,269.0798095502809
77,0.05,risky_0.1,5,1.033263023743462,0.0,737.1370611701767
78,0.05,risky_0.0,5,1.0309817760086686,0.0,740.1430099692406
79,0.05,risky_1.0,5,1.0158849458512713,0.0,749.5132718470502
80,0.05,simple,6,1.0419174200758685,0.0,736.7381246622136
81,0.05,robust,6,2.1106867250466945,0.0,273.4269472729327
82,0.05,risky_0.1,6,1.0334125644981718,0.0,738.3046043083922
83,0.05,risky_0.0,6,1.0414529271850264,0.0,735.0141449762814
84,0.05,risky_1.0,6,1.0319958999657797,0.0,741.0471743560726
85,0.05,simple,7,1.0388251299577405,0.0,724.9057277297527
86,0.05,robust,7,2.109384156897149,0.0,269.9908173844812
87,0.05,risky_0.1,7,1.0428277279545957,0.0,722.1825711171186
88,0.05,risky_0.0,7,1.0391167674503292,0.0,722.0055244679204
89,0.05,risky_1.0,7,1.0317474978387013,0.0,743.826948852492
90,0.05,simple,8,1.0408400367495414,0.0,729.6276006266862
91,0.05,robust,8,2.1091633255059246,0.0,271.26257974890876
92,0.05,risky_0.1,8,1.0348864679665049,0.0,732.6148872057357
93,0.05,risky_0.0,8,1.0400257398288046,0.0,728.5542087156274
94,0.05,risky_1.0,8,1.0159148838332623,0.0,745.2849176858961
95,0.05,simple,9,1.0309074827186326,0.0,733.9817321385112
96,0.05,robust,9,2.111825247835345,0.0,268.6420544076005
97,0.05,risky_0.1,9,1.0384613495383208,0.0,721.6576576545292
98,0.05,risky_0.0,9,1.0323842611281449,0.0,733.9014228031376
99,0.05,risky_1.0,9,1.0235769643506571,0.0,748.2026002141273
100,0.01,simple,0,1.1143131641775625,0.0,652.6548301337078
101,0.01,robust,0,2.07248955715642,0.0,287.3636944224712
102,0.01,risky_0.1,0,1.1001085169772682,0.0,654.9004543670683
103,0.01,risky_0.0,0,1.113944518414274,0.0,653.1593459995273
104,0.01,risky_1.0,0,1.0890550602138898,0.0,671.3301876365159
105,0.01,simple,1,1.1199222656955827,0.0,653.3725990681954
106,0.01,robust,1,2.069772350566642,0.0,286.6628850919542
107,0.01,risky_0.1,1,1.1093890046277146,0.0,656.805479076079
108,0.01,risky_0.0,1,1.1183953095877297,0.0,652.2027497635622
109,0.01,risky_1.0,1,1.0968697177648243,0.0,658.5024815146604
110,0.01,simple,2,1.106465807548617,0.0,654.5450851079271
111,0.01,robust,2,2.0576320023360664,0.0,286.463650883865
112,0.01,risky_0.1,2,1.1065109271863058,0.0,656.4544874016283
113,0.01,risky_0.0,2,1.1121576261601585,0.0,651.5738149603139
114,0.01,risky_1.0,2,1.0765145703859405,0.0,680.6823283660773
115,0.01,simple,3,1.1007106902017332,0.0,656.1118282160575
116,0.01,robust,3,2.0622740977231526,0.0,287.21470747552263
117,0.01,risky_0.1,3,1.090343925171811,0.0,656.7402441258894
118,0.01,risky_0.0,3,1.100350026602759,0.0,655.0305250816433
119,0.01,risky_1.0,3,1.0945770878807188,0.0,658.6294335529
120,0.01,simple,4,1.106232766806446,0.0,658.2278683624685
121,0.01,robust,4,2.056004665163079,0.0,286.05044956615353
122,0.01,risky_0.1,4,1.1042560449966055,0.0,655.6482706773921
123,0.01,risky_0.0,4,1.1040948632485938,0.0,658.5460971241355
124,0.01,risky_1.0,4,1.0842259868502246,0.0,663.4802924483114
125,0.01,simple,5,1.1094229329413765,0.0,656.9886632394973
126,0.01,robust,5,2.05536585617906,0.0,285.8741739592234
127,0.01,risky_0.1,5,1.102733215114427,0.0,655.230838383368
128,0.01,risky_0.0,5,1.108794259217069,0.0,657.3191568879414
129,0.01,risky_1.0,5,1.082779940854062,0.0,666.7496687873672
130,0.01,simple,6,1.119233178914813,0.0,651.7624646361892
131,0.01,robust,6,2.041959052633608,0.0,287.81405967414304
132,0.01,risky_0.1,6,1.1088503492496657,0.0,654.8864073006478
133,0.01,risky_0.0,6,1.1161215785917098,0.0,651.3694850711498
134,0.01,risky_1.0,6,1.0892502472369334,0.0,670.6562235501738
135,0.01,simple,7,1.101246765919686,0.0,659.3881121057392
